,id_recipe,Prep Time:,Total Time:,Servings:,Yield:,Servings Per Recipe,Calories,Total Fat,Sodium,Total Carbohydrate,Dietary Fiber,Total Sugars,Protein,Vitamin C,Calcium,Iron,Potassium,Average_Review,Review_Count,Saturated Fat,Additional Time:,Cholesterol,Cook Time:
0,6592345,5 mins,5 mins,3 ,1 1/2 cups,3,50,0g,1mg,12g,0g,9g,1g,55mg,12mg,0mg,220mg,4.4,64,,,,
1,6582258,5 mins,5 mins,1 ,,1,238,1g,8mg,58g,7g,38g,4g,194mg,55mg,1mg,1032mg,4.5,116,0g,,,
2,6738714,20 mins,20 mins,8 ,,8,63,4g,3mg,8g,3g,5g,1g,13mg,11mg,0mg,188mg,4.8,259,1g,,,
3,6582587,20 mins,20 mins,6 ,,6,27,0g,19mg,7g,2g,3g,1g,28mg,34mg,0mg,166mg,4.6,75,,,,
4,6739130,30 mins,9 days 30 mins,8 ,2 jars,8,53,0g,964mg,12g,3g,8g,2g,6mg,28mg,1mg,386mg,5.0,5,,9 days,,
5,6584985,10 mins,15 mins,2 ,,2,133,8g,227mg,1g,0g,0g,14g,5mg,11mg,2mg,272mg,5.0,2,2g,5 mins,42mg,
6,6584698,20 mins,20 mins,4 ,4 cups,4,104,8g,14mg,6g,5g,0g,4g,0mg,57mg,1mg,160mg,4.8,4,1g,,,
7,6606394,25 mins,25 mins,4 ,4 servings,4,511,20g,1078mg,57g,5g,4g,24g,45mg,65mg,4mg,845mg,4.0,1,3g,,47mg,
8,6737004,10 mins, 1 hr 10 mins,4 ,4 servings,4,52,0g,592mg,10g,4g,3g,2g,62mg,18mg,0mg,283mg,4.6,754,, 1 hr,,
9,6581409,10 mins, 8 hrs 10 mins,3 ,,3,146,7g,110mg,19g,7g,11g,3g,4mg,246mg,2mg,180mg,4.6,8,1g, 8 hrs,,
10,6576132,30 mins,30 mins,8 ,8 servings,8,233,1g,18mg,59g,4g,48g,5g,120mg,59mg,2mg,934mg,5.0,10,0g,,,
11,6739490,15 mins, 1 hr 55 mins,12 ,12 servings,12,148,6g,57mg,10g,2g,6g,15g,33mg,43mg,1mg,442mg,4.3,7,1g, 1 hr 40 mins,45mg,
12,6664303,10 mins, 1 hr 10 mins,6 ,6 servings,6,132,6g,4mg,23g,6g,10g,2g,10mg,13mg,1mg,499mg,4.3,75,1g, 1 hr,,
13,6605184,20 mins,20 mins,6 ,,6,41,0g,8mg,10g,2g,5g,2g,17mg,31mg,1mg,385mg,4.4,88,0g,,,
14,6595588,10 mins,25 mins,1 ,,1,385,13g,323mg,67g,18g,36g,8g,19mg,423mg,4mg,802mg,4.8,12,1g,15 mins,,
15,6589896,20 mins,20 mins,4 ,1 pound,4,191,6g,1026mg,4g,1g,2g,28g,30mg,32mg,5mg,621mg,5.0,5,1g,,51mg,
16,6587321,10 mins, 4 hrs 10 mins,6 ,1 cup,6,95,9g,98mg,4g,0g,4g,0g,6mg,3mg,0mg,27mg,4.5,30,1g, 4 hrs,,
17,6585651,10 mins, 2 hrs 10 mins,8 ,2 quarts,8,40,0g,8mg,11g,1g,9g,1g,20mg,45mg,1mg,55mg,3.9,15,,,, 2 hrs
18,6571901,15 mins,15 mins,5 ,,5,61,0g,5mg,15g,2g,9g,1g,25mg,8mg,0mg,278mg,4.8,176,0g,,,
19,6598315,25 mins,55 mins,2 ,,2,276,15g,47mg,36g,10g,22g,5g,56mg,44mg,1mg,980mg,4.8,55,2g,30 mins,,
20,6568080,15 mins, 1 hr 15 mins,4 ,4 servings,4,165,7g,613mg,27g,4g,21g,2g,63mg,55mg,1mg,340mg,4.6,10,1g, 1 hr,,
21,6561734,10 mins,10 mins,10 ,10 servings,10,151,9g,121mg,20g,4g,14g,2g,4mg,12mg,1mg,270mg,4.4,49,4g,,,
22,6579541,20 mins, 2 hrs 20 mins,5 ,5 servings,5,287,26g,596mg,14g,5g,6g,3g,74mg,94mg,2mg,628mg,4.0,1,2g, 2 hrs,,
23,6569706,15 mins, 2 hrs 15 mins,5 ,5 servings,5,144,6g,89mg,2g,1g,0g,22g,4mg,22mg,1mg,449mg,5.0,3,1g, 2 hrs,41mg,
24,6585677,30 mins,30 mins,4 ,4 servings,4,452,29g,478mg,46g,12g,23g,14g,152mg,279mg,4mg,1310mg,4.6,53,3g,,,
25,6600976,10 mins,10 mins,2 ,3 cups,2,178,1g,47mg,45g,7g,29g,2g,86mg,52mg,1mg,695mg,3.9,16,0g,,,
26,6650847,5 mins,45 mins,2 ,2 cups,2,177,3g,13mg,34g,5g,6g,6g,,35mg,2mg,205mg,4.3,3,1g,40 mins,,
27,6595579,10 mins, 1 hr 10 mins,4 ,4 servings,4,271,17g,49mg,30g,10g,16g,4g,8mg,24mg,1mg,454mg,4.5,114,6g, 1 hr,,
28,6590148,20 mins,50 mins,16 ,16 fat bombs,16,68,7g,22mg,3g,1g,1g,0g,1mg,3mg,0mg,33mg,4.0,1,6g,30 mins,,
29,6596112,10 mins,10 mins,15 ,15 energy bites,15,153,11g,84mg,11g,3g,4g,5g,,10mg,1mg,133mg,3.0,1,2g,,,
30,6590326,30 mins, 9 hrs 30 mins,16 ,1 gallon of kale chips,16,141,8g,83mg,13g,3g,2g,7g,78mg,79mg,2mg,361mg,5.0,3,1g, 9 hrs,,
31,6589869,5 mins, 2 hrs 5 mins,4 ,4 servings,4,381,28g,229mg,30g,3g,18g,6g,1mg,28mg,4mg,337mg,,,14g, 2 hrs,,
32,6579553,10 mins,10 mins,8 ,8 tostadas,8,57,0g,6mg,13g,7g,3g,1g,30mg,18mg,1mg,225mg,,,,,,
33,6602766,10 mins, 8 hrs 10 mins,16 ,2 cups,16,44,1g,1mg,9g,2g,6g,1g,15mg,24mg,0mg,43mg,,,0g, 8 hrs,,
34,6595024,10 mins, 8 hrs 10 mins,2 ,2 servings,2,563,53g,260mg,20g,9g,2g,12g,53mg,148mg,8mg,536mg,4.8,4,6g, 8 hrs,,
35,6581291,30 mins,30 mins,8 ,8 slices,8,411,31g,1mg,36g,7g,22g,5g,13mg,46mg,2mg,371mg,5.0,1,3g,,,
36,6581009,15 mins,15 mins,3 ,3 servings,3,423,36g,56mg,26g,3g,17g,2g,17mg,18mg,3mg,442mg,,,5g,,,
37,6573690,10 mins,40 mins,6 ,6 bars,6,308,19g,167mg,33g,6g,24g,10g,0mg,30mg,1mg,467mg,4.5,57,5g,30 mins,,
38,6593197,40 mins, 1 hr 15 mins,12 ,12 chocolate tarts,12,321,27g,1mg,31g,7g,10g,4g,4mg,16mg,1mg,161mg,4.5,2,17g,30 mins,,5 mins
39,6561811,5 mins,35 mins,8 ,8 servings,8,121,6g,22mg,17g,1g,14g,1g,4mg,36mg,0mg,64mg,,,4g,30 mins,13mg,
40,6568397,20 mins, 1 hr 35 mins,14 ,14 carrot cake bites,14,142,10g,39mg,13g,3g,9g,3g,1mg,35mg,1mg,222mg,5.0,1,2g, 1 hr 15 mins,,
41,6561401,20 mins,50 mins,2 ,2 servings,2,38,0g,118mg,9g,2g,5g,2g,34mg,24mg,2mg,367mg,4.5,2,0g,30 mins,,
42,6562590,5 mins,5 mins,6 ,6 ounces,6,103,0g,1mg,27g,1g,20g,1g,10mg,9mg,0mg,69mg,,,,,,
43,6565305,10 mins,10 mins,2 ,2 servings,2,132,0g,2mg,35g,7g,23g,1g,10mg,19mg,0mg,271mg,,,,,,
